,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
0,А,Аарон,"N, PN, persn",Аарон,6,True,False
1,А,апрякамс,"V, tr",упрекать; ревновать,1,False,False
3,А,аптека,N,аптека,30,True,False
4,А,аптека,A,аптека,1,True,False
5,А,аптекань,N,аптечный,1,False,False
6,А,аптечка,N,аптечка,1,True,False
7,А,аптечнай,A,аптечный,5,False,False
8,А,араб,"N, anim, hum",араб,4,True,False
9,А,Аравия,"N, PN, topn",Аравия,6,True,False
10,А,арай,PREDIC,"придётся, надо",130,False,False
11,А,арамс,"V, tr",стать,130,False,False
12,А,аралай,"N, anim, hum","защитник, страж",63,False,False
14,А,араламс,"V, tr","защитник, страж",15,False,False
15,А,араламань,A,защитить,18,False,False
18,А,арам,PART,"по-моему, -твоему и т. д.",24,False,False
20,А,аранжировка,N,аранжировка,1,True,False
21,А,аранжировщик,"N, anim, hum",аранжировщик,2,True,False
22,А,Арапов,"N, PN, famn",Арапов,12,True,False
23,А,Арапова,"N, PN, famn",Арапова,1,True,False
24,А,апряказь,ADV,с упрёком,1,False,False
25,А,апробация,N,апробация,1,True,False
26,А,апрель,"N, time_meas",апрель,328,True,False
28,А,анцяй,A,"незначительный, крохотный",12,False,False
29,А,анцяйняда,ADV,"чуть-чуть, слегка",1,False,False
30,А,анцяйняньбес,ADV,до мелочей,2,False,False
31,А,аншлаг,N,аншлаг,6,True,False
32,А,аньцек,ADV,только; только что,5033,False,False
33,А,аньцема,N,прорубь,3,False,False
34,А,Анюта,"N, PN, persn",Анюта,19,True,False
35,А,Аня,"N, PN, persn",Аня,44,True,False
36,А,апак,PART,не (с прилагательными и наречиями),901,False,False
37,А,апатия,N,апатия,1,True,False
38,А,апельсин,N,апельсин,6,True,False
39,А,Арбат,"N, PN, topn",Арбат,1,True,False
40,А,апельсин,A,апельсин,3,True,False
41,А,АПК,N,АПК,56,True,False
42,А,аплодисмент,N,аплодисменты,5,False,False
43,А,Аполлония,"N, PN, persn",Аполлония,1,True,False
44,А,Аполлос,"N, PN, persn",Аполлос,9,True,False
45,А,апостол,"N, anim, hum",апостол,145,True,False
46,А,аппарат,N,аппарат,88,True,False
47,А,аппаратура,N,аппаратура,15,True,False
48,А,аппендицит,N,аппендицит,1,True,False
49,А,аппетит,N,аппетит,9,True,False
50,А,аппликация,N,аппликация,3,True,False
51,А,апрелень,A,апрель,2,False,False
52,А,апельсинонь,N,апельсиновый,3,False,False
53,А,анциня,"N, anim, hum","нищий, нищенка",14,False,False
54,А,арбитр,"N, anim, hum",арбитр,5,True,False
55,А,Арвитовна,"N, PN, patrn",Арвитовна,3,True,False
56,А,Аристэ,"N, PN, famn",Аристэ,1,True,False
57,А,аритмия,N,аритмия,5,True,False
58,А,арифметика,N,арифметика,1,True,False
59,А,арифметическяй,A,арифметический,1,False,False
60,А,ария,N,ария,2,True,False
61,А,Аркадий,"N, PN, persn",Аркадий,3,True,False
62,А,Аркадьевич,"N, PN, patrn",Аркадьевич,2,True,False
63,А,армада,N,армада,1,True,False
64,А,арматура,N,арматура,4,True,False
65,А,арматурщик,"N, anim, hum",арматурщик,1,True,False
66,А,армеец,"N, anim, hum",армеец,2,True,False
67,А,армейскяй,A,армейский,12,False,False
68,А,Армения,"N, PN, topn",Армения,42,True,False
69,А,армия,N,армия,344,True,False
70,А,армян,"N, anim, hum",армянин,33,False,False
71,А,армянскяй,A,армянский,39,False,False
72,А,арнемат,N,ездить,14,False,False
73,А,арнемс,"V, intr",скачки,14,False,False
75,А,аромат,N,аромат,1,True,False
